x,y,elevation_m
0,0,102.55
1,0,102.8
2,0,103.05
3,0,103.31
4,0,103.56
5,0,102.81
6,0,103.06
7,0,103.3
8,0,103.55
9,0,103.79
10,0,105.23
11,0,105.47
12,0,105.71
13,0,105.94
14,0,106.17
15,0,105.85
16,0,106.07
17,0,106.29
18,0,106.51
19,0,106.72
20,0,107.27
21,0,107.47
22,0,107.67
23,0,107.86
24,0,108.05
25,0,108.18
26,0,108.35
27,0,108.52
28,0,108.69
29,0,108.84
30,0,107.49
31,0,107.64
32,0,107.78
33,0,107.91
34,0,108.03
35,0,109.45
36,0,109.56
37,0,109.66
38,0,109.76
39,0,109.84
40,0,109.02
41,0,109.1
42,0,109.16
43,0,109.22
44,0,109.27
45,0,109.26
46,0,109.29
47,0,109.32
48,0,109.34
49,0,109.35
50,0,110.2
51,0,110.19
52,0,110.18
53,0,110.16
54,0,110.13
55,0,108.89
56,0,108.84
57,0,108.79
58,0,108.73
59,0,108.66
60,0,108.58
61,0,108.5
62,0,108.41
63,0,108.31
64,0,108.2
65,0,108.09
66,0,107.97
67,0,107.84
68,0,107.71
69,0,107.57
70,0,107.42
71,0,107.27
72,0,107.11
73,0,106.94
74,0,106.77
75,0,108.14
76,0,107.96
77,0,107.77
78,0,107.57
79,0,107.38
80,0,105.97
81,0,105.76
82,0,105.55
83,0,105.33
84,0,105.11
85,0,104.94
86,0,104.71
87,0,104.48
88,0,104.24
89,0,104.0
90,0,103.66
91,0,103.42
92,0,103.18
93,0,102.93
94,0,102.68
95,0,102.13
96,0,101.88
97,0,101.63
98,0,101.38
99,0,101.13
100,0,102.02
101,0,101.77
102,0,101.52
103,0,101.27
104,0,101.02
105,0,99.62
106,0,99.37
107,0,99.12
108,0,98.88
109,0,98.64
110,0,100.25
111,0,100.01
112,0,99.78
113,0,99.54
114,0,99.32
115,0,98.14
116,0,97.92
117,0,97.7
118,0,97.49
119,0,97.28
120,0,96.73
121,0,96.53
122,0,96.33
123,0,96.14
124,0,95.96
125,0,96.78
126,0,96.61
127,0,96.45
128,0,96.28
129,0,96.13
130,0,94.43
131,0,94.29
132,0,94.16
133,0,94.03
134,0,93.91
135,0,93.8
136,0,93.69
137,0,93.59
138,0,93.5
139,0,93.42
140,0,94.89
141,0,94.82
142,0,94.76
143,0,94.71
144,0,94.66
145,0,95.07
146,0,95.04
147,0,95.02
148,0,95.01
149,0,95.0
150,0,94.75
151,0,94.76
152,0,94.78
153,0,94.81
154,0,94.84
155,0,94.33
156,0,94.38
157,0,94.44
158,0,94.5
159,0,94.58
160,0,93.81
161,0,93.89
162,0,93.99
163,0,94.09
164,0,94.2
165,0,95.72
166,0,95.84
167,0,95.97
168,0,96.11
169,0,96.26
170,0,96.66
171,0,96.81
172,0,96.98
173,0,97.15
174,0,97.32
175,0,95.5
176,0,95.69
177,0,95.88
178,0,96.08
179,0,96.28
180,0,97.78
181,0,97.99
182,0,98.21
183,0,98.43
184,0,98.65
185,0,99.58
186,0,99.81
187,0,100.04
188,0,100.28
189,0,100.52
190,0,100.41
191,0,100.65
192,0,100.9
193,0,101.14
194,0,101.39
195,0,100.24
196,0,100.49
197,0,100.75
198,0,101.0
199,0,101.25
0,1,102.55
1,1,102.8
2,1,103.05
3,1,103.3
4,1,103.55
5,1,102.8
6,1,103.05
7,1,103.3
8,1,103.55
9,1,103.79
10,1,105.23
11,1,105.47
12,1,105.71
13,1,105.94
14,1,106.17
15,1,105.85
16,1,106.07
