x,y,elevation_m
0,0,120.73
1,0,121.84
2,0,122.95
3,0,124.07
4,0,125.19
5,0,126.31
6,0,127.42
7,0,128.54
8,0,129.65
9,0,130.76
10,0,131.87
11,0,132.97
12,0,134.07
13,0,135.16
14,0,136.24
15,0,137.32
16,0,138.39
17,0,139.46
18,0,140.51
19,0,141.56
20,0,142.59
21,0,143.62
22,0,144.64
23,0,145.64
24,0,146.63
25,0,147.61
26,0,148.58
27,0,149.53
28,0,150.47
29,0,151.4
30,0,152.31
31,0,153.21
32,0,154.09
33,0,154.95
34,0,155.8
35,0,156.63
36,0,157.45
37,0,158.25
38,0,159.03
39,0,159.79
40,0,160.53
41,0,161.25
42,0,161.96
43,0,162.64
44,0,163.3
45,0,163.95
46,0,164.57
47,0,165.18
48,0,165.76
49,0,166.32
50,0,166.86
51,0,167.37
52,0,167.87
53,0,168.34
54,0,168.79
55,0,169.22
56,0,169.62
57,0,170.0
58,0,170.36
59,0,170.69
60,0,171.0
61,0,171.29
62,0,171.55
63,0,171.79
64,0,172.0
65,0,172.19
66,0,172.35
67,0,172.49
68,0,172.6
69,0,172.68
70,0,172.74
71,0,172.78
72,0,172.78
73,0,172.77
74,0,172.72
75,0,172.65
76,0,172.55
77,0,172.43
78,0,172.28
79,0,172.1
80,0,171.9
81,0,171.67
82,0,171.41
83,0,171.12
84,0,170.81
85,0,170.47
86,0,170.1
87,0,169.71
88,0,169.29
89,0,168.84
90,0,168.37
91,0,167.87
92,0,167.34
93,0,166.78
94,0,166.2
95,0,165.59
96,0,164.96
97,0,164.29
98,0,163.61
99,0,162.9
100,0,162.16
101,0,161.4
102,0,160.61
103,0,159.8
104,0,158.96
105,0,158.11
106,0,157.23
107,0,156.32
108,0,155.4
109,0,154.45
110,0,153.49
111,0,152.5
112,0,151.5
113,0,150.48
114,0,149.43
115,0,148.38
116,0,147.3
117,0,146.21
118,0,145.11
119,0,143.99
120,0,142.86
121,0,141.71
122,0,140.56
123,0,139.39
124,0,138.22
125,0,137.03
126,0,135.84
127,0,134.65
128,0,133.45
129,0,132.24
130,0,131.03
131,0,129.82
132,0,128.61
133,0,127.4
134,0,126.19
135,0,124.98
136,0,123.78
137,0,122.58
138,0,121.39
139,0,120.2
140,0,119.02
141,0,117.85
142,0,116.69
143,0,115.54
144,0,114.41
145,0,113.29
146,0,112.18
147,0,111.09
148,0,110.01
149,0,108.95
150,0,107.91
151,0,106.89
152,0,105.89
153,0,104.91
154,0,103.96
155,0,103.02
156,0,102.11
157,0,101.23
158,0,100.36
159,0,99.53
160,0,98.72
161,0,97.94
162,0,97.19
163,0,96.47
164,0,95.77
165,0,95.11
166,0,94.47
167,0,93.87
168,0,93.29
169,0,92.75
170,0,92.24
171,0,91.77
172,0,91.32
173,0,90.91
174,0,90.53
175,0,90.19
176,0,89.88
177,0,89.6
178,0,89.35
179,0,89.14
180,0,88.97
181,0,88.82
182,0,88.71
183,0,88.64
184,0,88.59
185,0,88.58
186,0,88.61
187,0,88.67
188,0,88.76
189,0,88.88
190,0,89.04
191,0,89.22
192,0,89.44
193,0,89.69
194,0,89.97
195,0,90.29
196,0,90.63
197,0,91.0
198,0,91.4
199,0,91.84
200,0,92.3
201,0,92.78
202,0,93.3
203,0,93.84
204,0,94.41
205,0,95.0
206,0,95.62
207,0,96.26
208,0,96.93
209,0,97.62
210,0,98.33
211,0,99.06
212,0,99.81
213,0,100.59
214,0,101.38
215,0,102.2
216,0,103.03
217,0,103.88
218,0,104.74
219,0,105.62
220,0,106.52
221,0,107.43
222,0,108.35
223,0,109.29
224,0,110.24
225,0,111.2
226,0,112.16
227,0,113.14
228,0,114.13
229,0,115.13
230,0,116.13
231,0,117.13
232,0,118.15
233,0,119.16
234,0,120.18
235,0,121.21
236,0,122.23
237,0,123.26
238,0,124.28
239,0,125.31
240,0,126.33
241,0,127.36
242,0,128.37
243,0,129.39
244,0,130.4
245,0,131.4
246,0,132.4
247,0,133.39
248,0,134.37
249,0,135.35
250,0,136.31
251,0,137.27
252,0,138.21
253,0,139.14
254,0,140.06
255,0,140.97
256,0,141.86
257,0,142.73
258,0,143.6
259,0,144.44
260,0,145.27
261,0,146.08
262,0,146.88
263,0,147.66
264,0,148.41
265,0,149.15
266,0,149.87
267,0,150.56
268,0,151.24
269,0,151.89
270,0,152.52
271,0,153.13
272,0,153.72
273,0,154.28
274,0,154.82
275,0,155.33
276,0,155.82
277,0,156.28
278,0,156.72
279,0,157.13
280,0,157.51
281,0,157.87
282,0,158.2
283,0,158.51
284,0,158.78
285,0,159.03
286,0,159.25
287,0,159.45
288,0,159.61
289,0,159.75
290,0,159.86
291,0,159.94
292,0,159.99
293,0,160.02
294,0,160.01
295,0,159.98
296,0,159.91
297,0,159.82
298,0,159.7
299,0,159.56
300,0,159.38
301,0,159.18
302,0,158.94
303,0,158.68
304,0,158.4
305,0,158.08
306,0,157.74
307,0,157.37
308,0,156.97
309,0,156.55
310,0,156.1
311,0,155.63
312,0,155.12
313,0,154.6
314,0,154.05
315,0,153.47
316,0,152.87
317,0,152.25
318,0,151.6
319,0,150.93
320,0,150.24
321,0,149.53
322,0,148.79
323,0,148.04
324,0,147.26
325,0,146.46
326,0,145.65
327,0,144.82
328,0,143.96
329,0,143.09
330,0,142.21
331,0,141.3
332,0,140.38
333,0,139.45
334,0,138.5
335,0,137.54
336,0,136.56
337,0,135.57
338,0,134.57
339,0,133.56
340,0,132.53
341,0,131.5
342,0,130.46
343,0,129.4
344,0,128.34
345,0,127.28
346,0,126.2
347,0,125.12
348,0,124.04
349,0,122.94
350,0,121.85
351,0,120.75
352,0,119.65
353,0,118.55
354,0,117.44
355,0,116.33
356,0,115.23
357,0,114.12
358,0,113.01
359,0,111.91
360,0,110.8
361,0,109.7
362,0,108.61
363,0,107.51
364,0,106.42
365,0,105.34
366,0,104.25
367,0,103.18
368,0,102.11
369,0,101.04
370,0,99.99
371,0,98.94
372,0,97.89
373,0,96.86
374,0,95.83
375,0,94.81
376,0,93.8
377,0,92.8
378,0,91.8
379,0,90.82
380,0,89.84
381,0,88.87
382,0,87.92
383,0,86.97
384,0,86.03
385,0,85.1
386,0,84.18
387,0,83.27
388,0,82.37
389,0,81.48
390,0,80.59
391,0,79.72
392,0,78.85
393,0,78.0
394,0,77.15
395,0,76.3
396,0,75.47
397,0,74.64
398,0,73.82
399,0,73.01
0,1,120.8
1,1,121.91
2,1,123.03
3,1,124.15
4,1,125.27
5,1,126.39
6,1,127.52
7,1,128.64
8,1,129.75
9,1,130.87
10,1,131.98
11,1,133.09
12,1,134.2
13,1,135.29
14,1,136.39
15,1,137.47
16,1,138.55
17,1,139.63
18,1,140.69
19,1,141.75
20,1,142.79
21,1,143.83
22,1,144.85
23,1,145.87
24,1,146.87
25,1,147.87
26,1,148.85
27,1,149.81
28,1,150.77
29,1,151.71
30,1,152.63
31,1,153.54
32,1,154.44
33,1,155.32
